Zero/NonZero,Location,SKU,Name,Bin,BatchSerialNumber,ExpiryDate_YYYYMMDD,Quantity,UnitCost,Comments,ReceivedDate_YYYYMMDD
Zero,Cape Town Warehouse,MA-OM-KXL,Sloom Original Mattress King Extra Length,,,,5,6686.49,"SHOPIFY-RECEIPTS-AUG26-CPT | PO482 DN I349828 (Unifoam) | Goods received in Shopify 7 Aug 2026, not processed in Cin7",20260807
Zero,Cape Town Warehouse,MA-OM-CTK,Sloom Original Mattress Cape Town King,,,,3,8940.84,"SHOPIFY-RECEIPTS-AUG26-CPT | PO482 DN I349828 (Unifoam) | Goods received in Shopify 7 Aug 2026, not processed in Cin7",20260807
