Zero/NonZero,Location,SKU,Name,Bin,BatchSerialNumber,ExpiryDate_YYYYMMDD,Quantity,UnitCost,Comments,ReceivedDate_YYYYMMDD
Zero,Johannesburg Warehouse,MA-OM-KXL,Sloom Original Mattress King Extra Length,,,,<qty>,6686.49,"SHOPIFY-RECEIPTS-AUG26-JHB | PO491 DN I3_____ (Unifoam) | Goods received in Shopify __ Aug 2026, not processed in Cin7",
Zero,Johannesburg Warehouse,MA-OM-CTK,Sloom Original Mattress Cape Town King,,,,<qty>,8940.84,"SHOPIFY-RECEIPTS-AUG26-JHB | PO491 DN I3_____ (Unifoam) | Goods received in Shopify __ Aug 2026, not processed in Cin7",
