Zero/NonZero,Location,SKU,Name,Bin,BatchSerialNumber,ExpiryDate_YYYYMMDD,Quantity,UnitCost,Comments,ReceivedDate_YYYYMMDD
Zero,Cape Town Warehouse,MA-OM-SXL,Sloom Original Mattress Single Extra Length,,,,10,3970.21,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I348784 (Unifoam) | Goods received in Shopify 20 Jul 2026, not processed in Cin7",20260720
Zero,Cape Town Warehouse,MA-OM-Q,Sloom Original Mattress Queen,,,,25,5235.73,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I348784 (Unifoam) | Goods received in Shopify 20 Jul 2026, not processed in Cin7",20260720
Zero,Cape Town Warehouse,MA-OM-K,Sloom Original Mattress King,,,,10,6078.62,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I348784 (Unifoam) | Goods received in Shopify 20 Jul 2026, not processed in Cin7",20260720
Zero,Cape Town Warehouse,MA-OM-KXL,Sloom Original Mattress King Extra Length,,,,20,6686.49,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I348784 (Unifoam) | Goods received in Shopify 20 Jul 2026, not processed in Cin7",20260720
