Zero/NonZero,Location,SKU,Name,Bin,BatchSerialNumber,ExpiryDate_YYYYMMDD,Quantity,UnitCost,Comments,ReceivedDate_YYYYMMDD
Zero,Cape Town Warehouse,MA-OM-S,Sloom Original Mattress Single,,,,8,3138.51,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I349293 (Unifoam) | Goods received in Shopify 29 Jul 2026, not processed in Cin7",20260729
Zero,Cape Town Warehouse,MA-OM-D,Sloom Original Mattress Double,,,,2,4829.80,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I349293 (Unifoam) | Goods received in Shopify 29 Jul 2026, not processed in Cin7",20260729
Zero,Cape Town Warehouse,MA-OM-CTK,Sloom Original Mattress Cape Town King,,,,2,8940.84,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I349293 (Unifoam) | Goods received in Shopify 29 Jul 2026, not processed in Cin7",20260729
